年代,性別,因子1,因子2,評判,値段,サイズ,アルコール度数,色,アロマ,味わい
20代,男性,1.219561872,1.420443687,0,95,95,100,80,70,95
20代,男性,1.219561872,1.420443687,0,95,95,100,80,70,95
20代,男性,1.219561872,1.420443687,0,95,95,100,80,70,95
20代,男性,1.219561872,1.420443687,0,95,95,100,80,70,95
20代,男性,1.219561872,1.420443687,0,95,95,100,80,70,95
20代,男性,1.219561872,1.420443687,0,95,95,100,80,70,95
20代,男性,1.219561872,1.420443687,0,95,95,100,80,70,95
60代,女性,0.942434739,-0.463835848,80,65,30,35,80,60,90
60代,女性,0.942434739,-0.463835848,80,65,30,35,80,60,90
60代,女性,0.942434739,-0.463835848,80,65,30,35,80,60,90
60代,女性,0.942434739,-0.463835848,80,65,30,35,80,60,90
60代,女性,0.942434739,-0.463835848,80,65,30,35,80,60,90
60代,女性,0.942434739,-0.463835848,80,65,30,35,80,60,90
60代,女性,0.942434739,-0.463835848,80,65,30,35,80,60,90
60代,女性,0.942434739,-0.463835848,80,65,30,35,80,60,90
60代,女性,0.942434739,-0.463835848,80,65,30,35,80,60,90
60代,女性,0.942434739,-0.463835848,80,65,30,35,80,60,90
60代,女性,0.942434739,-0.463835848,80,65,30,35,80,60,90
40代,女性,1.286252274,-1.345226221,30,0,0,20,80,90,100
40代,女性,1.286252274,-1.345226221,30,0,0,20,80,90,100
40代,女性,1.286252274,-1.345226221,30,0,0,20,80,90,100
40代,女性,1.286252274,-1.345226221,30,0,0,20,80,90,100
40代,女性,1.286252274,-1.345226221,30,0,0,20,80,90,100
40代,女性,1.286252274,-1.345226221,30,0,0,20,80,90,100
40代,女性,1.286252274,-1.345226221,30,0,0,20,80,90,100
40代,女性,1.286252274,-1.345226221,30,0,0,20,80,90,100
40代,女性,1.286252274,-1.345226221,30,0,0,20,80,90,100
40代,女性,1.286252274,-1.345226221,30,0,0,20,80,90,100
40代,女性,1.286252274,-1.345226221,30,0,0,20,80,90,100
30代,男性,1.516288231,1.534641446,30,50,100,100,90,75,100
30代,男性,1.516288231,1.534641446,30,50,100,100,90,75,100
30代,男性,1.516288231,1.534641446,30,50,100,100,90,75,100
30代,男性,1.516288231,1.534641446,30,50,100,100,90,75,100
30代,男性,1.516288231,1.534641446,30,50,100,100,90,75,100
30代,男性,1.516288231,1.534641446,30,50,100,100,90,75,100
30代,男性,1.516288231,1.534641446,30,50,100,100,90,75,100
30代,男性,1.516288231,1.534641446,30,50,100,100,90,75,100
30代,男性,1.516288231,1.534641446,30,50,100,100,90,75,100
30代,男性,1.516288231,1.534641446,30,50,100,100,90,75,100
30代,男性,1.516288231,1.534641446,30,50,100,100,90,75,100
40代,女性,1.524471805,-1.056973792,30,15,10,25,95,80,100
40代,女性,1.524471805,-1.056973792,30,15,10,25,95,80,100
40代,女性,1.524471805,-1.056973792,30,15,10,25,95,80,100
40代,女性,1.524471805,-1.056973792,30,15,10,25,95,80,100
40代,女性,1.524471805,-1.056973792,30,15,10,25,95,80,100
40代,女性,1.524471805,-1.056973792,30,15,10,25,95,80,100
40代,女性,1.524471805,-1.056973792,30,15,10,25,95,80,100
40代,女性,1.524471805,-1.056973792,30,15,10,25,95,80,100
40代,女性,1.524471805,-1.056973792,30,15,10,25,95,80,100
40代,女性,1.524471805,-1.056973792,30,15,10,25,95,80,100
40代,女性,1.524471805,-1.056973792,30,15,10,25,95,80,100
50代,男性,,,50,80,90,100,20,,40
50代,男性,,,50,80,90,100,20,,40
50代,男性,,,50,80,90,100,20,,40
50代,男性,,,50,80,90,100,20,,40
50代,男性,,,50,80,90,100,20,,40
50代,男性,,,50,80,90,100,20,,40
50代,男性,,,50,80,90,100,20,,40
50代,男性,,,50,80,90,100,20,,40
50代,男性,,,50,80,90,100,20,,40
50代,男性,,,50,80,90,100,20,,40
50代,男性,,,50,80,90,100,20,,40
